column	question_id	attribute	match_score
What did we get wrong or forget? In the next two weeks, what will you do differently, what exactly will you check or count, and how will you decide what to stop and what to keep doing?	LA_Q1	Learning Agility	90
In the next 30 days, what ideas do you want to test? What signs or proof would make you change your mind? What current activities will you stop or reduce so that you have time and energy to learn?	LA_Q2	Learning Agility	90
How will you treat these rumours as useful information, not just noise? Where and how will you listen, how will you collect this feedback, and how will it shape your next version of SokoLink?	LA_Q3	Learning Agility	90
In one market cycle, how will you sit with them, watch, and listen to understand their experience? How will you test changes together with them (not just design for them) and then adjust SokoLink based on what you learn?	LA_Q4	Learning Agility	90
When you compare USSD with offline use and a small printer to a telco-only smartphone app, what does each option mean for who can use it, how well it works when the network fails, how costly it is for users, and how well it protects data, and which option do you choose for the next test and why?	DS_Q1	Digital Savvy	90
How would you design a consent process for people who cannot read well, for example using a short Lusoga audio message and a clear way to say â€œno,â€ that still works offline and leaves a record that can be checked later when the data syncs?	DS_Q2	Digital Savvy	90
If the network goes down again, what are the exact steps you will follow to record each transaction while offline, give the user proof, and then sync the data and update receipts when the network comes back?	DS_Q3	Digital Savvy	90
If you find a small mistake in how data was recorded, who will you inform, what will you share publicly, and what will you change so that this kind of mistake does not happen again?	DS_Q4	Digital Savvy	90
How would you design a test in two markets that compares Prototype A and Prototype B, including limits on volume, clear success targets, and rules for when to stop or continue, and what kind of surprising result would make you change your plan and how?	IN_Q1	Innovation	90
What is one low-cost idea that can improve inclusion without buying new equipment, and how will you test this idea in one week?	IN_Q2	Innovation	90
How will you work together with market mamas and buyers so that they help design the next version of SokoLink, and what exactly will you do in the session and produce at the end?	IN_Q3	Innovation	90
After the sprint, how will you write a short public message saying, â€œwe heard you, we changed,â€ and which three changes will you highlight and why?	IN_Q4	Innovation	90
When you look at the main actors (district leaders, MTN, brokers, church leaders, buyers, police) during election season, what does each one want, what are three things you will not cross (red lines), and how will you make sure these are clearly written into the MoU?	IN_Q1	Contextual Intelligence	90
If a market leader hints that they want a â€œfacilitation,â€ what steps will you take to say no, record what happened, and still protect the relationship and the program?	IN_Q2	Contextual Intelligence	90
The district wants SokoLink to link with their market fee system. What rules and safeguards will you propose so this link does not silence womenâ€™s voices, and clear limits on how data is shared?	IN_Q3	Contextual Intelligence	90
You are planning a radio talk show to rebuild trust. Who will speak on the show, what three key messages will they repeat, and how will you check if trust is growing in ways that go beyond just likes or call-ins?	IN_Q4	Contextual Intelligence	90
