column,question_id,attribute,prompt_hint
"How would you frame the Accord, so donors see a locally led, sustainable solution—not a short-term project “win”?",SPP_Q1,Strategic Positioning & Donor Fluency,"How would you frame the Accord, so donors see a locally led, sustainable solution—not a short-term project “win”?"
What concrete asks would you make to shift resources directly (and simply) to parish groups while protecting community control?,SPP_Q2,Strategic Positioning & Donor Fluency,What concrete asks would you make to shift resources directly (and simply) to parish groups while protecting community control?
"When donors push for visibility or speed, how would you negotiate pacing and optics without compromising non-negotiables?",SPP_Q3,Strategic Positioning & Donor Fluency,"When donors push for visibility or speed, how would you negotiate pacing and optics without compromising non-negotiables?"
"After a late attempt to weaken local voice (exclusivity/app-only/non-voting), how would you re-engage donors to reinforce equity clauses?",SPP_Q4,Strategic Positioning & Donor Fluency,"After a late attempt to weaken local voice (exclusivity/app-only/non-voting), how would you re-engage donors to reinforce equity clauses?"
Map the most influential actors in this scenario; who do you approach first and why?,SME_Q1,Power-Aware Stakeholder Mapping,Map the most influential actors in this scenario; who do you approach first and why?
"What behind-the-scenes steps would you take with skeptics (brokers, shellers, officials) before going public?",SME_Q2,Power-Aware Stakeholder Mapping,"What behind-the-scenes steps would you take with skeptics (brokers, shellers, officials) before going public?"
"How would you anticipate and manage spoilers (rival councillors, election-season restrictions) while retaining access to decision rooms?",SME_Q3,Power-Aware Stakeholder Mapping,"How would you anticipate and manage spoilers (rival councillors, election-season restrictions) while retaining access to decision rooms?"
"What signals would trigger you to update the power map, and how would that change your engagement plan?",SME_Q4,Power-Aware Stakeholder Mapping,"What signals would trigger you to update the power map, and how would that change your engagement plan?"
"In public fora, how will you ensure farmer representatives (women, youth, PWD) are the primary voices?",EEL_Q1,Equitable Allyship & Local Fronting,"In public fora, how will you ensure farmer representatives (women, youth, PWD) are the primary voices?"
How will you structure media/donor interactions so credit stays local and CARE remains in a background support role?,EEL_Q2,Equitable Allyship & Local Fronting,How will you structure media/donor interactions so credit stays local and CARE remains in a background support role?
What coaching or prep would you provide to local spokespeople to handle tough questions?,EEL_Q3,Equitable Allyship & Local Fronting,What coaching or prep would you provide to local spokespeople to handle tough questions?
"If pressured for CARE to front the effort, how would you respond while preserving local ownership?",EEL_Q4,Equitable Allyship & Local Fronting,"If pressured for CARE to front the effort, how would you respond while preserving local ownership?"
What light-touch governance would you set up to balance inclusion and decisiveness?,CBC_Q1,Coalition Governance & Convening,What light-touch governance would you set up to balance inclusion and decisiveness?
"How would you guarantee meaningful participation (not tokenism) for women, youth, and PWD?",CBC_Q2,Coalition Governance & Convening,"How would you guarantee meaningful participation (not tokenism) for women, youth, and PWD?"
What norms/tools would you use to document decisions and share minutes transparently across the coalition?,CBC_Q3,Coalition Governance & Convening,What norms/tools would you use to document decisions and share minutes transparently across the coalition?
"If conflict emerges inside the coalition, how do you resolve it without losing momentum on the Accord?",CBC_Q4,Coalition Governance & Convening,"If conflict emerges inside the coalition, how do you resolve it without losing momentum on the Accord?"
"How would you co-create Lusoga talking points that make sense to farmers, buyers, and local leaders at the same time?",CFM_Q1,Community-Centered Messaging,"How would you co-create Lusoga talking points that make sense to farmers, buyers, and local leaders at the same time?"
"Which themes (dignity, safety, predictability, fair weighing) would you elevate for each audience, and why?",CFM_Q2,Community-Centered Messaging,"Which themes (dignity, safety, predictability, fair weighing) would you elevate for each audience, and why?"
"With elections approaching, how would you keep the tone neutral yet persuasive?",CFM_Q3,Community-Centered Messaging,"With elections approaching, how would you keep the tone neutral yet persuasive?"
"What specific channels would you use to reach marginalized groups (e.g., youth shellers, PWD) and close the rumor gaps?",CFM_Q4,Community-Centered Messaging,"What specific channels would you use to reach marginalized groups (e.g., youth shellers, PWD) and close the rumor gaps?"
"What local data would you prioritize collecting, and how would you verify it?",EIA_Q1,Evidence-Led Learning (Local Knowledge),"What local data would you prioritize collecting, and how would you verify it?"
"How would you ensure informed consent (opt-in in Lusoga, easy withdrawal) and ethical data handling?",EIA_Q2,Evidence-Led Learning (Local Knowledge),"How would you ensure informed consent (opt-in in Lusoga, easy withdrawal) and ethical data handling?"
"How would you package evidence for different rooms (LC3, community, donors) without releasing raw notes to the media?",EIA_Q3,Evidence-Led Learning (Local Knowledge),"How would you package evidence for different rooms (LC3, community, donors) without releasing raw notes to the media?"
"If the coalition’s evidence is challenged, how would you validate methods and protect sources?",EIA_Q4,Evidence-Led Learning (Local Knowledge),"If the coalition’s evidence is challenged, how would you validate methods and protect sources?"
"Without formal authority, how would you secure LC3 agenda time for farmer reps and ACTIVE MINDS?",ATC_Q1,Influence Without Authority,"Without formal authority, how would you secure LC3 agenda time for farmer reps and ACTIVE MINDS?"
What backstage diplomacy can CARE do that doesn’t eclipse local leaders?,ATC_Q2,Influence Without Authority,What backstage diplomacy can CARE do that doesn’t eclipse local leaders?
"How would you build trust with cautious officials (e.g., police limits on gatherings) to keep pathways open?",ATC_Q3,Influence Without Authority,"How would you build trust with cautious officials (e.g., police limits on gatherings) to keep pathways open?"
"If access to LC3 is blocked, what alternative influence routes would you pursue (co-chairs, neutral venues, phased dialogues)?",ATC_Q4,Influence Without Authority,"If access to LC3 is blocked, what alternative influence routes would you pursue (co-chairs, neutral venues, phased dialogues)?"
"What’s your top five risk register for this context, and how will you monitor each item?",RAM_Q1,Risk Management & Adaptive Communication,"What’s your top five risk register for this context, and how will you monitor each item?"
"What practical safeguards (consent scripts, small meetings, safe wording) will you put in place for women and youth?",RAM_Q2,Risk Management & Adaptive Communication,"What practical safeguards (consent scripts, small meetings, safe wording) will you put in place for women and youth?"
"How will you run rapid local feedback loops (e.g., priest’s Lusoga voice notes, “you said / we did” updates)?",RAM_Q3,Risk Management & Adaptive Communication,"How will you run rapid local feedback loops (e.g., priest’s Lusoga voice notes, “you said / we did” updates)?"
"If political or donor pressure threatens non-negotiables, how will you adapt communications while holding the red lines?",RAM_Q4,Risk Management & Adaptive Communication,"If political or donor pressure threatens non-negotiables, how will you adapt communications while holding the red lines?"
