question,question_id,attribute,match_score
"How would you reframe the Compact, so it advances women’s safety while aligning with City Hall’s revenue and service priorities? Walk through the first three moves you’d make and why",SPP_Q1,Strategic Positioning & Political Acumen,90
Which two trade-offs are you willing to make and which are non-negotiable to keep momentum without hollowing out the Compact,SPP_Q2,Strategic Positioning & Political Acumen,90
"What signals (from Mayor, RDC, vendors, private sector) would tell you your framing is landing or backfiring,and how would you adjust?”",SPP_Q3,Strategic Positioning & Political Acumen,
"Map the micro-coalitions (women vendors, small traders, wholesalers, clergy, exporters, police). Who engages whom, in what sequence, and with what asks/offers?",SME_Q1,Stakeholder Mapping & Engagement,90
"Describe a pre-consult you’d run with a key skeptic. What would you listen for, and how would that reshape your plan?",SME_Q2,Stakeholder Mapping & Engagement,90
How will you keep women vendors co-leading decisions rather than merely being consulted?,SME_Q3,Stakeholder Mapping & Engagement,90
"Draft the outline of a 2-page brief triangulating vendor surveys, fee-receipt analysis, incident logs, and observation. What options and trade-offs will you present to Council?",EIA_Q1,Evidence-Informed Advocacy,90
"What minimum viable data quality checks will you run before sharing, and how will you handle gaps or conflicting evidence on air or in committee?",EIA_Q2,Evidence-Informed Advocacy,90
"If a stakeholder disputes your numbers live on the radio, how do you respond in the moment and follow up the next day?",EIA_Q3,Evidence-Informed Advocacy,90
"Write the opening 60 seconds of your briefing to Council and the alternative 60-second version for clergy same core narrative, different frames.",CFM_Q1,"Communication, Framing & Messaging",90
"A viral post claims, stall privatization. How do you de-escalate online, correct the record, and keep your coalition aligned on talking points?",CFM_Q2,"Communication, Framing & Messaging",90
"What one visual would you use to explain fee transparency and grievance flow to radio listeners, and why?",CFM_Q3,"Communication, Framing & Messaging",90
"List the top five risks (political, reputational, personal safety). What de-escalation protocols and red lines will you agree across the coalition?",RAM_Q1,Risk Awareness & Mitigation,
"If a march is proposed, what go/no-go criteria and safety conditions would you require before any public action?",RAM_Q2,Risk Awareness & Mitigation,90
Describe your rapid response plan if a radio exchange becomes heated or a rumour spikes again.,RAM_Q3,Risk Awareness & Mitigation,90
"Draft the MoU headlines (principles, roles, decision rules, spokesperson rotation, light secretariat). What must be explicit to prevent drift?",CBC_Q1,Coalition Building & Collaborative Action,90
How will you surface and resolve tactic disagreements (quiet diplomacy vs. public action) without splintering the coalition?,CBC_Q2,Coalition Building & Collaborative Action,90
Design a 90-day joint action plan with three shared milestones and who does what by when.”,CBC_Q3,Coalition Building & Collaborative Action,90
"Lay out your channel strategy from committee briefings to selective media. What triggers a tactic shift, and how do you minimize backlash?",ATC_Q1,Adaptive Tactics & Channel Selection,90
"If progress stalls in committee, what two adaptive moves would you try next that preserve vendor consent and safety?",ATC_Q2,Adaptive Tactics & Channel Selection,90
Which tactic will you kill quickly if it creates a burden or hardens opposition and how will you know?,ATC_Q3,Adaptive Tactics & Channel Selection,90
"An official asks you to ‘tone down’ rights clauses to move fast. How do you negotiate, what will you disclose, and where is your red line?",EEL_Q1,Integrity & Values-Based Influencing,90
Describe how you keep women’s safety and fair access non-negotiable while staying transparent about trade-offs to all sides,EEL_Q2,Integrity & Values-Based Influencing,90
"If you discover evidence that weakens your case, what do you publish, to whom, and how do you protect credibility while proceeding?",EEL_Q3,Integrity & Values-Based Influencing,90
